ad,adx,adxr,apo,aroon_down,aroon_up,aroonosc,atr,bbands_lower,bbands_upper,bop,cci,cdl2crows,cdl3blackcrows,cdl3inside,chikou_span,cmo,dema,donchian_lower,donchian_upper,dx,ema,ht_trendline,kama,kijun_sen,ma,macd,macdext,macdext_signal,macdfix,macdfix_signal,macdsignal,mama_fast,mama_slow,mavp,mfi,midpoint,midprice,minus_di,minus_dm,mom,obv,plus_di,plus_dm,ppo,psar,roc,rocp,rocr,rocr100,rsi,sarext,senkou_span_a,senkou_span_b,sma,stoch_slowd,stoch_slowk,stochf_fastd,stochf_fastk,stochrsi_fastd,stochrsi_fastk,t3,tema,tenkan_sen,trima,trix,ultosc,willr,wma
-5492.343143511703,,,,,,,,,,-0.6334268767140737,,0,0,0,29048.0,,,,,,,,,,,,,,,,,,,,,,,,,,8673.02328,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2516.2797429738844,,,,,,,,,,0.6113800729185349,,0,0,0,29041.49,,,,,,,,,,,,,,,,,,,,,,,,,,13637.87688,,,,28720.0,,,,,,28720.0,,,,,,,,,,,,,,,,,
-6160.465787285493,,,,,,,,,,-0.5630762311670992,,0,0,0,29067.35,,,,,,,,,,,,,,,,,,,,,,,,,,9993.14444,,,,28725.0162,,,,,,28720.0,,,,,,,,,,,,,,,,,
2157.2841067114623,,,,,,,,,,0.23284301293431772,,0,0,0,29072.13,,,,,,,,,,,,,,,,,,,,,,,,,,19574.47305,,,,28995.59,,,,,,-28995.59,,,,,,,,,,,,,,,,,
8727.78599153662,,,,,,,,,,0.6803116838998645,,0,0,0,29063.99,,,,,,,,,,,,,,,,,,,,,,,,,,28421.106030000003,,,,28585.7,,,,,,28585.7,,,,,,,,,,,,,,,,,
16665.281455530057,,,,,,,,,,0.7716942333482403,,0,0,0,29092.68,,,,,,,,,,,,,,,,,,,,,,,,,,37430.186740000005,,,,28585.7,,,,,,28585.7,,,,,,,,,,,,,,,,,
4407.622492597298,,,,,,,,,,-0.1718352941176529,,0,0,0,29078.01,,,,,,,,,,,,,,,,,,,,,,,,,,24537.925160000006,,,,28631.842,,,,,,28585.7,,,,,,,,,,,,,,,,,
96.15084391644177,,,,,,,,,,-0.3575784810939242,,0,0,0,29012.93,,,,,,,,,,,,,,,,,,,,,,,,,,19341.80958000001,,,,28716.78148,,,,,,28585.7,,,,,,,,,,,,,,,,,
5908.381292250328,,,,,,,,,,-0.07430527587594866,,0,0,0,29088.0,,,,,,,,,,,,,,,,,,,,,,,,,,12514.243310000009,,,,28796.6245912,,,,,,28585.7,,,,77.14293550072144,66.16397242978421,,,,,,,29316.6,,,,,
3057.5078158128035,,,,,,,,,,-0.5545358358634673,,0,0,0,29088.42,,,,,,,,,,,,,,,,,,,,,,,,,,2982.9779100000087,,,,28871.677115728,,,,,,28585.7,,,,64.36399891533378,48.0646980557577,,,,,,,29316.6,,,,,
3351.6962865262717,,,,,,,,,,-0.38907216494844926,,0,0,0,29162.67,,,,,,,,,,,,,,,,,,,,,,,,,316.5600000000013,-8068.077809999992,,,,30047.5,1.0978324952314988,0.01097832495231494,1.010978324952315,101.0978324952315,,28585.7,,,,48.78378023079949,32.12267020685656,,,,,,,29316.6,,,,,
4520.436733437606,,,,,,,,,,0.20658628756522177,,0,0,0,29094.09,,,,,,,,,,,,,,,,,,,,,,,,,248.70999999999913,-5384.690949999991,,,,30025.1,0.859478942403058,0.008594789424030547,1.0085947894240306,100.85947894240306,,28585.7,,,,34.50449758409128,23.326124489659577,,,,,,,29316.6,,,,,
3666.871568539956,,,,,,,,,,-0.025826308042289605,,0,0,0,29091.44,,,,,,,,,,,,,,,,,,,,,,,,,319.9500000000007,-8754.311909999991,,,,30003.147999999997,1.1085437383649754,0.011085437383649708,1.0110854373836498,101.10854373836497,,28585.7,,,,28.514744314702654,30.09543824759181,,,,,,,29455.754999999997,,,,,
1163.8558571350668,,,,,,,,,,-0.7708985248100326,-39.9131321128927,0,0,0,28858.44,,,,,,,,,,,,,,,,,,,,,29270.495000000003,29316.6,,1084.7799999999988,90.16999999999825,-12592.698299999991,,1135.0199999999968,,29981.635039999997,0.3114250189956369,0.0031142501899564224,1.0031142501899564,100.31142501899564,,28585.7,,,,27.532985076056622,29.177392490918475,,,,,,,29487.5,,,,-68.63661239567672,
3118.1030738606087,,,,42.85714285714286,21.42857142857143,21.42857142857143,292.9171428571429,,,0.4432500652798288,-37.91755591114716,0,0,0,29154.91,16.777162215377224,,,,0.07650580101154034,,,,,,,,,,,,,,,46.487541299493735,29284.09,29316.6,27.51682365004566,1052.335714285714,-128.40000000000146,-9035.609219999991,27.558959819352303,1053.9471428571399,,29960.552339199996,-0.43860832720454823,-0.004386083272045498,0.9956139167279545,99.56139167279545,58.38858110768861,28585.7,,,,31.420134047195564,34.987571403076394,,,,,,,29487.5,,,,-61.66985907784937,
3248.1644672541865,,,,35.714285714285715,14.285714285714286,21.42857142857143,297.3444897959185,,,0.31856861087630556,-1.247030062874226,0,0,0,29211.06,21.90640471772864,,,,10.817196698536083,,,,,,,,,,,,,,,52.80188918824944,29284.09,29316.6,25.01668322253634,977.16887755102,-446.9200000000019,-1800.6893899999914,31.085350569724362,1214.2152040816327,,29939.891292415996,-1.5044777164470946,-0.015044777164470932,0.984955222835529,98.4955222835529,60.953202358864324,28585.7,,,,35.8174426609226,43.28736408877293,38.58598987549585,46.06444110001363,,,,,29323.635000000002,,,,-53.93555889998636,
