open_time,Open,High,Low,Close,Volume,Close_time,Quote_volume,Count,Taker_buy_volume,Taker_buy_quote_volume,Ignore,open_time_converted,close_time_converted
1690848000000,29232.26,29347.16,28720.0,28835.0,8673.02328,1690862399999,251519496.97246513,170121,3748.38528,108711258.7602303,0,2023-08-01 00:00:00,2023-08-01 03:59:59.999
1690862400000,28835.01,28970.81,28803.5,28937.3,4964.8536,1690876799999,143479371.6731395,101954,2448.56002,70761341.1739028,0,2023-08-01 04:00:00,2023-08-01 07:59:59.999
1690876800000,28937.31,28995.59,28862.18,28862.19,3644.73244,1690891199999,105429267.9272075,81986,1481.976,42872439.0877847,0,2023-08-01 08:00:00,2023-08-01 11:59:59.999
1690891200000,28862.19,28980.0,28585.7,28954.0,9581.32861,1690905599999,276282327.5446531,197831,4588.33444,132324491.9219138,0,2023-08-01 12:00:00,2023-08-01 15:59:59.999
1690905600000,28953.99,29335.0,28864.01,29274.41,8846.63298,1690919999999,257474749.72295168,182656,4586.30216,133493154.0651508,0,2023-08-01 16:00:00,2023-08-01 19:59:59.999
1690920000000,29274.42,29739.25,29180.0,29705.99,9009.08071,1690934399999,264975001.2375072,165593,4978.19266,146432963.9345485,0,2023-08-01 20:00:00,2023-08-01 23:59:59.999
1690934400000,29705.99,30047.5,29622.5,29632.96,12892.26158,1690948799999,384373830.0115068,229621,6045.02141,180252037.9563471,0,2023-08-02 00:00:00,2023-08-02 03:59:59.999
1690948800000,29632.96,29719.77,29564.0,29577.26,5196.11558,1690963199999,153965133.220049,98554,2343.24807,69433952.4000271,0,2023-08-02 04:00:00,2023-08-02 07:59:59.999
1690963200000,29577.25,29577.26,29378.62,29562.49,6827.56627,1690977599999,201283014.82999712,137852,3146.7489,92764528.7795235,0,2023-08-02 08:00:00,2023-08-02 11:59:59.999
1690977600000,29562.49,29603.8,29169.04,29321.4,9531.2654,1690991999999,279916587.789461,196220,4658.81161,136831268.7915984,0,2023-08-02 12:00:00,2023-08-02 15:59:59.999
1690992000000,29321.39,29364.0,28927.5,29151.56,11051.05572,1691006399999,321938749.3572359,213718,5418.42563,157854953.5537934,0,2023-08-02 16:00:00,2023-08-02 19:59:59.999
1691006400000,29151.57,29233.06,29066.35,29186.01,2683.38686,1691020799999,78252429.4415021,69193,1341.55878,39120098.7937698,0,2023-08-02 20:00:00,2023-08-02 23:59:59.999
1691020800000,29186.0,29275.8,29126.34,29182.14,3369.62096,1691035199999,98369911.9904124,75913,1509.07298,44053958.0195945,0,2023-08-03 00:00:00,2023-08-03 03:59:59.999
1691035200000,29182.13,29192.0,29013.04,29044.17,3838.38639,1691049599999,111704015.1685194,90644,1704.22558,49594726.4404216,0,2023-08-03 04:00:00,2023-08-03 07:59:59.999
1691049600000,29044.16,29197.78,28968.0,29146.01,3557.08908,1691063999999,103539448.1414244,106604,1734.91958,50506152.52348,0,2023-08-03 08:00:00,2023-08-03 11:59:59.999
1691064000000,29146.01,29433.33,29078.43,29259.07,7234.91983,1691078399999,211616435.3656028,176685,3894.72727,113935526.1265778,0,2023-08-03 12:00:00,2023-08-03 15:59:59.999
